
State,County_Name,% hispanic
AL,Autauga County,2.86
AL,Baldwin County,4.55
AL,Barbour County,4.21
AL,Bibb County,2.64
AL,Blount County,9.57
AL,Bullock County,8.25
AL,Butler County,1.44
AL,Calhoun County,3.75
AL,Chambers County,2.44
AL,Cherokee County,1.64
AL,Chilton County,7.79
AL,Choctaw County,0.97
AL,Clarke County,1.32
AL,Clay County,3.12
AL,Cleburne County,2.42
AL,Coffee County,7.1
AL,Colbert County,2.55
AL,Conecuh County,2.0
AL,Coosa County,2.43
AL,Covington County,1.65
AL,Crenshaw County,2.15
AL,Cullman County,4.33
AL,Dale County,6.51
AL,Dallas County,1.08
AL,DeKalb County,14.84
AL,Elmore County,2.99
AL,Escambia County,2.3
AL,Etowah County,3.85
AL,Fayette County,1.75
AL,Franklin County,16.98
AL,Geneva County,3.95
AL,Greene County,1.54
AL,Hale County,1.47
AL,Henry County,2.67
AL,Houston County,3.36
AL,Jackson County,3.0
AL,Jefferson County,3.88
AL,Lamar County,1.58
AL,Lauderdale County,2.68
AL,Lawrence County,2.2
AL,Lee County,3.77
AL,Limestone County,6.08
AL,Lowndes County,1.66
AL,Macon County,1.77
AL,Madison County,4.91
AL,Marengo County,2.52
AL,Marion County,2.55
AL,Marshall County,13.92
AL,Mobile County,2.88
AL,Monroe County,1.44
AL,Montgomery County,3.47
AL,Morgan County,8.29
AL,Perry County,1.68
AL,Pickens County,4.57
AL,Pike County,2.21
AL,Randolph County,2.89
AL,Russell County,5.41
AL,St. Clair County,2.39
AL,Shelby County,5.76
AL,Sumter County,1.07
AL,Talladega County,2.31
AL,Tallapoosa County,2.4
AL,Tuscaloosa County,3.75
AL,Walker County,2.58
AL,Washington County,1.55
AL,Wilcox County,1.42
AL,Winston County,3.13
AK,Aleutians East Borough,
AK,Aleutians West Census Area,
AK,Anchorage Municipality,
AK,Bethel Census Area,
AK,Bristol Bay Borough,
AK,Chugach Census Area,
AK,Copper River Census Area,
AK,Denali Borough,
AK,Dillingham Census Area,
AK,Fairbanks North Star Borough,
AK,Haines Borough,
AK,Hoonah-Angoon Census Area,
AK,Juneau City and Borough,
AK,Kenai Peninsula Borough,
AK,Ketchikan Gateway Borough,
AK,Kodiak Island Borough,
AK,Kusilvak Census Area,
AK,Lake and Peninsula Borough,
AK,Matanuska-Susitna Borough,
AK,Nome Census Area,
AK,North Slope Borough,
AK,Northwest Arctic Borough,
AK,Petersburg Borough,
AK,Prince of Wales-Hyder Census Area,
AK,Sitka City and Borough,
AK,Skagway Municipality,
AK,Southeast Fairbanks Census Area,
AK,Wrangell City and Borough,
AK,Yakutat City and Borough,
AK,Yukon-Koyukuk Census Area,
AZ,Apache County,6.26
AZ,Cochise County,35.59
AZ,Coconino County,14.14
AZ,Gila County,18.73
AZ,Graham County,32.78
AZ,Greenlee County,46.79
AZ,La Paz County,26.94
AZ,Maricopa County,31.1
AZ,Mohave County,16.44
AZ,Navajo County,11.27
AZ,Pima County,37.28
AZ,Pinal County,30.1
AZ,Santa Cruz County,83.41
AZ,Yavapai County,14.54
AZ,Yuma County,63.94
AR,Arkansas County,3.05
AR,Ashley County,5.42
AR,Baxter County,2.36
AR,Benton County,16.69
AR,Boone County,2.47
AR,Bradley County,15.61
AR,Calhoun County,4.15
AR,Carroll County,15.31
AR,Chicot County,5.39
AR,Clark County,4.81
AR,Clay County,2.07
AR,Cleburne County,2.44
AR,Cleveland County,2.32
AR,Columbia County,2.64
AR,Conway County,3.94
AR,Craighead County,5.18
AR,Crawford County,7.88
AR,Crittenden County,2.57
AR,Cross County,2.0
AR,Dallas County,3.22
AR,Desha County,6.74
AR,Drew County,3.46
AR,Faulkner County,4.06
AR,Franklin County,3.06
AR,Fulton County,1.33
AR,Garland County,5.7
AR,Grant County,2.64
AR,Greene County,2.82
AR,Hempstead County,12.77
AR,Hot Spring County,3.53
AR,Howard County,12.91
AR,Independence County,6.5
AR,Izard County,2.54
AR,Jackson County,2.87
AR,Jefferson County,2.11
AR,Johnson County,14.35
AR,Lafayette County,2.52
AR,Lawrence County,1.48
AR,Lee County,2.56
AR,Lincoln County,3.63
AR,Little River County,3.67
AR,Logan County,3.2
AR,Lonoke County,4.71
AR,Madison County,5.67
AR,Marion County,2.21
AR,Miller County,3.38
AR,Mississippi County,4.31
AR,Monroe County,2.79
AR,Montgomery County,4.38
AR,Nevada County,4.18
AR,Newton County,1.97
AR,Ouachita County,2.32
AR,Perry County,2.86
AR,Phillips County,2.0
AR,Pike County,6.46
AR,Poinsett County,3.01
AR,Polk County,6.71
AR,Pope County,9.12
AR,Prairie County,1.78
AR,Pulaski County,6.17
AR,Randolph County,2.05
AR,St. Francis County,5.31
AR,Saline County,4.8
AR,Scott County,7.74
AR,Searcy County,2.49
AR,Sebastian County,14.4
AR,Sevier County,33.78
AR,Sharp County,2.18
AR,Stone County,2.07
AR,Union County,4.11
AR,Van Buren County,2.96
AR,Washington County,16.84
AR,White County,4.35
AR,Woodruff County,1.72
AR,Yell County,20.42
CA,Alameda County,22.47
CA,Alpine County,11.07
CA,Amador County,14.14
CA,Butte County,16.38
CA,Calaveras County,12.07
CA,Colusa County,59.57
CA,Contra Costa County,25.67
CA,Del Norte County,19.12
CA,El Dorado County,12.85
CA,Fresno County,53.16
CA,Glenn County,41.93
CA,Humboldt County,11.71
CA,Imperial County,84.26
CA,Inyo County,21.97
CA,Kern County,53.43
CA,Kings County,54.82
CA,Lake County,20.56
CA,Lassen County,19.0
CA,Los Angeles County,48.6
CA,Madera County,57.95
CA,Marin County,16.12
CA,Mariposa County,11.44
CA,Mendocino County,25.38
CA,Merced County,59.59
CA,Modoc County,14.57
CA,Mono County,27.48
CA,Monterey County,58.79
CA,Napa County,34.28
CA,Nevada County,9.46
CA,Orange County,34.22
CA,Placer County,14.05
CA,Plumas County,8.91
CA,Riverside County,49.07
CA,Sacramento County,23.25
CA,San Benito County,59.86
CA,San Bernardino County,53.42
CA,San Diego County,33.85
CA,San Francisco County,15.23
CA,San Joaquin County,41.6
CA,San Luis Obispo County,22.63
CA,San Mateo County,24.49
CA,Santa Barbara County,45.65
CA,Santa Clara County,25.59
CA,Santa Cruz County,33.92
CA,Shasta County,10.11
CA,Sierra County,11.04
CA,Siskiyou County,12.55
CA,Solano County,26.53
CA,Sonoma County,26.99
CA,Stanislaus County,46.32
CA,Sutter County,31.04
CA,Tehama County,25.24
CA,Trinity County,7.29
CA,Tulare County,64.73
CA,Tuolumne County,12.52
CA,Ventura County,42.88
CA,Yolo County,31.76
CA,Yuba County,28.31
CO,Adams County,40.05
CO,Alamosa County,45.71
CO,Arapahoe County,19.28
CO,Archuleta County,18.05
CO,Baca County,11.06
CO,Bent County,32.59
CO,Boulder County,13.94
CO,Broomfield County,12.4
CO,Chaffee County,10.09
CO,Cheyenne County,11.76
CO,Clear Creek County,7.1
CO,Conejos County,52.11
CO,Costilla County,62.21
CO,Crowley County,31.22
CO,Custer County,5.64
CO,Delta County,15.25
CO,Denver County,29.92
CO,Dolores County,6.48
CO,Douglas County,8.71
CO,Eagle County,29.7
CO,Elbert County,7.09
CO,El Paso County,17.06
CO,Fremont County,13.33
CO,Garfield County,28.6
CO,Gilpin County,7.08
CO,Grand County,8.46
CO,Gunnison County,9.23
CO,Hinsdale County,4.41
CO,Huerfano County,34.49
CO,Jackson County,13.14
CO,Jefferson County,15.37
CO,Kiowa County,8.94
CO,Kit Carson County,18.36
CO,Lake County,36.15
CO,La Plata County,12.83
CO,Larimer County,11.45
CO,Las Animas County,41.79
CO,Lincoln County,13.81
CO,Logan County,16.09
CO,Mesa County,14.56
CO,Mineral County,6.4
CO,Moffat County,15.7
CO,Montezuma County,12.63
CO,Montrose County,20.65
CO,Morgan County,36.31
CO,Otero County,41.87
CO,Ouray County,6.24
CO,Park County,6.1
CO,Phillips County,21.3
CO,Pitkin County,10.14
CO,Prowers County,38.05
CO,Pueblo County,43.0
CO,Rio Blanco County,9.56
CO,Rio Grande County,44.07
CO,Routt County,7.01
CO,Saguache County,36.1
CO,San Juan County,12.17
CO,San Miguel County,10.33
CO,Sedgwick County,15.06
CO,Summit County,13.98
CO,Teller County,6.34
CO,Washington County,10.69
CO,Weld County,29.31
CO,Yuma County,23.48
CT,Capitol Planning Region,
CT,Greater Bridgeport Planning Region,
CT,Lower Connecticut River Valley Planning Region,
CT,Naugatuck Valley Planning Region,
CT,Northeastern Connecticut Planning Region,
CT,Northwest Hills Planning Region,
CT,South Central Connecticut Planning Region,
CT,Southeastern Connecticut Planning Region,
CT,Western Connecticut Planning Region,
DE,Kent County,7.18
DE,New Castle County,9.95
DE,Sussex County,9.37
DC,District of Columbia,
FL,Alachua County,9.85
FL,Baker County,2.56
FL,Bay County,6.59
FL,Bradford County,4.09
FL,Brevard County,10.39
FL,Broward County,29.65
FL,Calhoun County,5.9
FL,Charlotte County,7.17
FL,Citrus County,5.7
FL,Clay County,9.9
FL,Collier County,27.76
FL,Columbia County,6.23
FL,DeSoto County,30.72
FL,Dixie County,4.36
FL,Duval County,9.66
FL,Escambia County,5.65
